Date,Price,Open,High,Low,Vol.,Change %
07/19/2022,$245.53,$245.00,$247.14,$236.98," 8,08,90,000 ",2.07%
07/18/2022,$240.55,$244.94,$250.52,$239.60," 8,25,40,000 ",0.20%
07/15/2022,$240.07,$240.00,$243.62,$236.89," 6,96,80,000 ",0.74%
07/14/2022,$238.31,$234.90,$238.65,$229.33," 7,85,60,000 ",0.54%
07/13/2022,$237.04,$225.50,$242.06,$225.03," 9,79,60,000 ",1.70%
07-12-2022,$233.07,$236.85,$239.77,$228.37," 8,79,30,000 ",-0.54%
07-11-2022,$234.34,$252.10,$253.06,$233.63," 9,95,10,000 ",-6.55%
07-08-2022,$250.76,$242.33,$254.98,$241.16," 10,18,50,000 ",2.54%
07-07-2022,$244.54,$233.92,$245.36,$232.21," 8,19,30,000 ",5.53%
07-06-2022,$231.73,$230.78,$234.56,$227.19," 7,18,50,000 ",-0.57%
07-05-2022,$233.07,$223.00,$233.15,$216.17," 8,47,80,000 ",2.55%
07-01-2022,$227.26,$227.00,$230.23,$222.12," 7,44,60,000 ",1.24%
06/30/2022,$224.47,$224.51,$229.46,$218.86," 9,46,00,000 ",-1.76%
06/29/2022,$228.49,$230.50,$231.17,$222.27," 8,29,00,000 ",-1.79%
06/28/2022,$232.66,$244.48,$249.97,$232.34," 9,06,70,000 ",-5.00%
06/27/2022,$244.92,$249.37,$252.07,$242.57," 8,91,80,000 ",-0.32%
06/24/2022,$245.71,$237.47,$246.07,$236.09," 9,57,70,000 ",4.52%
06/23/2022,$235.07,$237.90,$239.32,$228.64," 10,42,00,000 ",-0.43%
06/22/2022,$236.09,$234.50,$246.83,$233.83," 10,15,30,000 ",-0.40%
06/21/2022,$237.04,$224.60,$243.58,$224.33," 12,27,90,000 ",9.35%
06/17/2022,$216.76,$213.43,$220.97,$213.20," 9,26,40,000 ",1.72%
06/16/2022,$213.10,$222.74,$225.17,$208.69," 10,73,90,000 ",-8.54%
06/15/2022,$233.00,$220.92,$235.66,$218.15," 11,91,30,000 ",5.48%
06/14/2022,$220.89,$218.29,$226.33,$211.74," 9,79,90,000 ",2.39%
06/13/2022,$215.74,$223.17,$226.63,$214.68," 10,27,70,000 ",-7.10%
06-10-2022,$232.23,$235.16,$239.50,$227.91," 9,80,90,000 ",-3.12%
06-09-2022,$239.71,$249.34,$255.55,$239.33," 9,64,90,000 ",-0.89%
06-08-2022,$241.87,$240.09,$249.96,$239.18," 7,62,10,000 ",1.25%
06-07-2022,$238.89,$234.00,$240.00,$230.09," 7,28,10,000 ",0.25%
06-06-2022,$238.28,$244.35,$244.87,$234.35," 8,42,10,000 ",1.60%
06-03-2022,$234.52,$243.22,$247.80,$233.42," 11,23,90,000 ",-9.22%
06-02-2022,$258.33,$244.16,$264.21,$242.07," 9,34,70,000 ",4.68%
06-01-2022,$246.79,$251.72,$257.33,$243.64," 7,72,50,000 ",-2.36%
05/31/2022,$252.75,$257.95,$259.60,$244.74," 10,19,10,000 ",-0.18%
05/27/2022,$253.21,$241.08,$253.27,$240.18," 8,93,00,000 ",7.33%
05/26/2022,$235.91,$220.47,$239.56,$217.89," 10,60,00,000 ",7.43%
05/25/2022,$219.60,$207.95,$223.11,$207.67," 9,21,40,000 ",4.88%
05/24/2022,$209.39,$217.84,$217.97,$206.86," 8,90,90,000 ",-6.93%
05/23/2022,$224.97,$218.34,$226.65,$212.69," 8,89,00,000 ",1.66%
05/20/2022,$221.30,$238.00,$240.53,$211.00," 14,49,70,000 ",-6.42%
05/19/2022,$236.47,$235.67,$244.67,$231.37," 9,03,00,000 ",-0.05%
05/18/2022,$236.60,$248.17,$253.50,$233.60," 8,78,10,000 ",-6.80%
05/17/2022,$253.87,$249.12,$254.83,$242.95," 8,02,40,000 ",5.14%
05/16/2022,$241.46,$255.72,$256.59,$239.70," 8,61,00,000 ",-5.88%
05/13/2022,$256.53,$257.83,$262.45,$250.52," 9,21,50,000 ",5.71%
05-12-2022,$242.67,$233.67,$253.22,$226.67," 14,03,10,000 ",-0.82%
05-11-2022,$244.67,$265.00,$269.92,$242.40," 9,72,30,000 ",-8.25%
05-10-2022,$266.68,$273.10,$275.12,$258.08," 8,44,00,000 ",1.64%
05-09-2022,$262.37,$278.82,$281.88,$260.38," 9,08,10,000 ",-9.07%
05-06-2022,$288.55,$295.67,$296.00,$281.03," 7,29,00,000 ",-0.87%
05-05-2022,$291.09,$313.07,$315.20,$285.90," 9,25,20,000 ",-8.33%
05-04-2022,$317.54,$301.31,$318.50,$295.09," 8,16,40,000 ",4.77%
05-03-2022,$303.08,$301.06,$308.03,$296.20," 6,37,10,000 ",0.70%
05-02-2022,$300.98,$286.92,$302.12,$282.68," 7,57,80,000 ",3.70%
04/29/2022,$290.25,$300.75,$311.47,$290.00," 8,81,30,000 ",-0.77%
04/28/2022,$292.50,$299.99,$300.00,$273.90," 12,49,50,000 ",-0.45%
04/27/2022,$293.84,$299.53,$306.00,$292.45," 7,69,60,000 ",0.58%
04/26/2022,$292.14,$331.81,$333.33,$291.67," 13,61,30,000 ",-12.18%
04/25/2022,$332.67,$326.32,$336.21,$325.10," 6,83,40,000 ",-0.70%
04/22/2022,$335.02,$338.30,$344.95,$331.33," 6,97,00,000 ",-0.37%
04/21/2022,$336.26,$358.24,$364.07,$332.14," 10,54,20,000 ",3.23%
04/20/2022,$325.73,$343.33,$344.67,$325.08," 7,07,10,000 ",-4.96%
04/19/2022,$342.72,$335.02,$344.98,$331.77," 4,98,50,000 ",2.38%
04/18/2022,$334.76,$329.68,$338.31,$324.47," 5,17,20,000 ",1.96%
04/14/2022,$328.33,$333.10,$337.57,$327.40," 5,84,20,000 ",-3.66%
04/13/2022,$340.79,$327.02,$342.08,$324.37," 5,51,20,000 ",3.59%
04-12-2022,$328.98,$332.55,$340.40,$325.53," 6,59,80,000 ",1.13%
04-11-2022,$325.31,$326.80,$336.16,$324.88," 5,93,60,000 ",-4.83%
04-08-2022,$341.83,$347.74,$349.48,$340.81," 5,50,10,000 ",-3.00%
04-07-2022,$352.42,$350.80,$358.86,$340.51," 7,94,50,000 ",1.10%
04-06-2022,$348.59,$357.82,$359.67,$342.57," 8,93,50,000 ",-4.17%
04-05-2022,$363.75,$378.77,$384.29,$362.43," 8,00,80,000 ",-4.73%
04-04-2022,$381.82,$363.13,$383.30,$357.51," 8,21,80,000 ",5.61%
04-01-2022,$361.53,$360.38,$364.92,$355.55," 5,42,60,000 ",0.65%
