Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,140.009995,144.043747,113.124252,114.966499,114.966499,564940000
2022-05-01,113.906502,123.142998,102.208000,114.039001,114.039001,717486000
2022-06-01,114.931503,119.398499,105.628548,109.372498,109.372498,627132000
2022-07-01,108.336998,120.434998,104.760002,116.639999,116.639999,638766600
2022-08-01,115.529999,123.260002,108.800003,109.150002,109.150002,430961500
2022-09-01,109.199997,112.639999,96.029999,96.150002,96.150002,532993100
2022-10-01,97.220001,105.099998,91.900002,94.660004,94.660004,584537500
2022-11-01,95.589996,101.449997,83.449997,101.449997,101.449997,603449000
2022-12-01,101.400002,102.589996,86.370003,88.730003,88.730003,498585400
2023-01-01,89.830002,101.580002,85.570000,99.870003,99.870003,526178100
2023-02-01,99.739998,108.820000,88.860001,90.300003,90.300003,754400500
2023-03-01,90.160004,107.510002,89.769997,104.000000,104.000000,725464400
